遥信(DI)描述,遥测(AI)描述,遥测(AI)乘法因子,遥测(AI)偏移量,遥控(DO)描述,遥控(DO)限定词：0-未指定；1-短脉冲；2-长脉冲；3-持续,遥控(DO)类型：0-选择执行；1-立即执行,遥调(AO)描述,累计量(CI)描述
遥信(DI)#2089,遥测(AI)#2089,2089,-7912,遥控(DO)#2089,2,1,遥调(AO)#2089,累计量(CI)#2089
遥信(DI)#2090,遥测(AI)#2090,2090,-7911,遥控(DO)#2090,2,1,遥调(AO)#2090,累计量(CI)#2090
遥信(DI)#2091,遥测(AI)#2091,2091,-7910,遥控(DO)#2091,2,1,遥调(AO)#2091,累计量(CI)#2091
遥信(DI)#2092,遥测(AI)#2092,2092,-7909,遥控(DO)#2092,2,1,遥调(AO)#2092,累计量(CI)#2092
遥信(DI)#2093,遥测(AI)#2093,2093,-7908,遥控(DO)#2093,2,1,遥调(AO)#2093,累计量(CI)#2093
遥信(DI)#2094,遥测(AI)#2094,2094,-7907,遥控(DO)#2094,2,1,遥调(AO)#2094,累计量(CI)#2094
遥信(DI)#2095,遥测(AI)#2095,2095,-7906,遥控(DO)#2095,2,1,遥调(AO)#2095,累计量(CI)#2095
遥信(DI)#2096,遥测(AI)#2096,2096,-7905,遥控(DO)#2096,2,1,遥调(AO)#2096,累计量(CI)#2096
遥信(DI)#2097,遥测(AI)#2097,2097,-7904,遥控(DO)#2097,2,1,遥调(AO)#2097,累计量(CI)#2097
遥信(DI)#2098,遥测(AI)#2098,2098,-7903,遥控(DO)#2098,2,1,遥调(AO)#2098,累计量(CI)#2098
遥信(DI)#2099,遥测(AI)#2099,2099,-7902,遥控(DO)#2099,2,1,遥调(AO)#2099,累计量(CI)#2099
遥信(DI)#2100,遥测(AI)#2100,2100,-7901,遥控(DO)#2100,2,1,遥调(AO)#2100,累计量(CI)#2100
遥信(DI)#2101,遥测(AI)#2101,2101,-7900,遥控(DO)#2101,2,1,遥调(AO)#2101,累计量(CI)#2101
遥信(DI)#2102,遥测(AI)#2102,2102,-7899,遥控(DO)#2102,2,1,遥调(AO)#2102,累计量(CI)#2102
遥信(DI)#2103,遥测(AI)#2103,2103,-7898,遥控(DO)#2103,2,1,遥调(AO)#2103,累计量(CI)#2103
遥信(DI)#2104,遥测(AI)#2104,2104,-7897,遥控(DO)#2104,2,1,遥调(AO)#2104,累计量(CI)#2104
遥信(DI)#2105,遥测(AI)#2105,2105,-7896,遥控(DO)#2105,2,1,遥调(AO)#2105,累计量(CI)#2105
遥信(DI)#2106,遥测(AI)#2106,2106,-7895,遥控(DO)#2106,2,1,遥调(AO)#2106,累计量(CI)#2106
遥信(DI)#2107,遥测(AI)#2107,2107,-7894,遥控(DO)#2107,2,1,遥调(AO)#2107,累计量(CI)#2107
遥信(DI)#2108,遥测(AI)#2108,2108,-7893,遥控(DO)#2108,2,1,遥调(AO)#2108,累计量(CI)#2108
遥信(DI)#2109,遥测(AI)#2109,2109,-7892,遥控(DO)#2109,2,1,遥调(AO)#2109,累计量(CI)#2109
遥信(DI)#2110,遥测(AI)#2110,2110,-7891,遥控(DO)#2110,2,1,遥调(AO)#2110,累计量(CI)#2110
遥信(DI)#2111,遥测(AI)#2111,2111,-7890,遥控(DO)#2111,2,1,遥调(AO)#2111,累计量(CI)#2111
遥信(DI)#2112,遥测(AI)#2112,2112,-7889,遥控(DO)#2112,2,1,遥调(AO)#2112,累计量(CI)#2112
遥信(DI)#2113,遥测(AI)#2113,2113,-7888,遥控(DO)#2113,2,1,遥调(AO)#2113,累计量(CI)#2113
遥信(DI)#2114,遥测(AI)#2114,2114,-7887,遥控(DO)#2114,2,1,遥调(AO)#2114,累计量(CI)#2114
遥信(DI)#2115,遥测(AI)#2115,2115,-7886,遥控(DO)#2115,2,1,遥调(AO)#2115,累计量(CI)#2115
遥信(DI)#2116,遥测(AI)#2116,2116,-7885,遥控(DO)#2116,2,1,遥调(AO)#2116,累计量(CI)#2116
遥信(DI)#2117,遥测(AI)#2117,2117,-7884,遥控(DO)#2117,2,1,遥调(AO)#2117,累计量(CI)#2117
遥信(DI)#2118,遥测(AI)#2118,2118,-7883,遥控(DO)#2118,2,1,遥调(AO)#2118,累计量(CI)#2118
遥信(DI)#2119,遥测(AI)#2119,2119,-7882,遥控(DO)#2119,2,1,遥调(AO)#2119,累计量(CI)#2119
遥信(DI)#2120,遥测(AI)#2120,2120,-7881,遥控(DO)#2120,2,1,遥调(AO)#2120,累计量(CI)#2120
遥信(DI)#2121,遥测(AI)#2121,2121,-7880,遥控(DO)#2121,2,1,遥调(AO)#2121,累计量(CI)#2121
遥信(DI)#2122,遥测(AI)#2122,2122,-7879,遥控(DO)#2122,2,1,遥调(AO)#2122,累计量(CI)#2122
遥信(DI)#2123,遥测(AI)#2123,2123,-7878,遥控(DO)#2123,2,1,遥调(AO)#2123,累计量(CI)#2123
遥信(DI)#2124,遥测(AI)#2124,2124,-7877,遥控(DO)#2124,2,1,遥调(AO)#2124,累计量(CI)#2124
遥信(DI)#2125,遥测(AI)#2125,2125,-7876,遥控(DO)#2125,2,1,遥调(AO)#2125,累计量(CI)#2125
遥信(DI)#2126,遥测(AI)#2126,2126,-7875,遥控(DO)#2126,2,1,遥调(AO)#2126,累计量(CI)#2126
遥信(DI)#2127,遥测(AI)#2127,2127,-7874,遥控(DO)#2127,2,1,遥调(AO)#2127,累计量(CI)#2127
遥信(DI)#2128,遥测(AI)#2128,2128,-7873,遥控(DO)#2128,2,1,遥调(AO)#2128,累计量(CI)#2128
遥信(DI)#2129,遥测(AI)#2129,2129,-7872,遥控(DO)#2129,2,1,遥调(AO)#2129,累计量(CI)#2129
遥信(DI)#2130,遥测(AI)#2130,2130,-7871,遥控(DO)#2130,2,1,遥调(AO)#2130,累计量(CI)#2130
遥信(DI)#2131,遥测(AI)#2131,2131,-7870,遥控(DO)#2131,2,1,遥调(AO)#2131,累计量(CI)#2131
遥信(DI)#2132,遥测(AI)#2132,2132,-7869,遥控(DO)#2132,2,1,遥调(AO)#2132,累计量(CI)#2132
遥信(DI)#2133,遥测(AI)#2133,2133,-7868,遥控(DO)#2133,2,1,遥调(AO)#2133,累计量(CI)#2133
遥信(DI)#2134,遥测(AI)#2134,2134,-7867,遥控(DO)#2134,2,1,遥调(AO)#2134,累计量(CI)#2134
遥信(DI)#2135,遥测(AI)#2135,2135,-7866,遥控(DO)#2135,2,1,遥调(AO)#2135,累计量(CI)#2135
遥信(DI)#2136,遥测(AI)#2136,2136,-7865,遥控(DO)#2136,2,1,遥调(AO)#2136,累计量(CI)#2136
遥信(DI)#2137,遥测(AI)#2137,2137,-7864,遥控(DO)#2137,2,1,遥调(AO)#2137,累计量(CI)#2137
遥信(DI)#2138,遥测(AI)#2138,2138,-7863,遥控(DO)#2138,2,1,遥调(AO)#2138,累计量(CI)#2138
遥信(DI)#2139,遥测(AI)#2139,2139,-7862,遥控(DO)#2139,2,1,遥调(AO)#2139,累计量(CI)#2139
遥信(DI)#2140,遥测(AI)#2140,2140,-7861,遥控(DO)#2140,2,1,遥调(AO)#2140,累计量(CI)#2140
遥信(DI)#2141,遥测(AI)#2141,2141,-7860,遥控(DO)#2141,2,1,遥调(AO)#2141,累计量(CI)#2141
遥信(DI)#2142,遥测(AI)#2142,2142,-7859,遥控(DO)#2142,2,1,遥调(AO)#2142,累计量(CI)#2142
遥信(DI)#2143,遥测(AI)#2143,2143,-7858,遥控(DO)#2143,2,1,遥调(AO)#2143,累计量(CI)#2143
遥信(DI)#2144,遥测(AI)#2144,2144,-7857,遥控(DO)#2144,2,1,遥调(AO)#2144,累计量(CI)#2144
遥信(DI)#2145,遥测(AI)#2145,2145,-7856,遥控(DO)#2145,2,1,遥调(AO)#2145,累计量(CI)#2145
遥信(DI)#2146,遥测(AI)#2146,2146,-7855,遥控(DO)#2146,2,1,遥调(AO)#2146,累计量(CI)#2146
遥信(DI)#2147,遥测(AI)#2147,2147,-7854,遥控(DO)#2147,2,1,遥调(AO)#2147,累计量(CI)#2147
遥信(DI)#2148,遥测(AI)#2148,2148,-7853,遥控(DO)#2148,2,1,遥调(AO)#2148,累计量(CI)#2148
遥信(DI)#2149,遥测(AI)#2149,2149,-7852,遥控(DO)#2149,2,1,遥调(AO)#2149,累计量(CI)#2149
遥信(DI)#2150,遥测(AI)#2150,2150,-7851,遥控(DO)#2150,2,1,遥调(AO)#2150,累计量(CI)#2150
遥信(DI)#2151,遥测(AI)#2151,2151,-7850,遥控(DO)#2151,2,1,遥调(AO)#2151,累计量(CI)#2151
遥信(DI)#2152,遥测(AI)#2152,2152,-7849,遥控(DO)#2152,2,1,遥调(AO)#2152,累计量(CI)#2152
遥信(DI)#2153,遥测(AI)#2153,2153,-7848,遥控(DO)#2153,2,1,遥调(AO)#2153,累计量(CI)#2153
遥信(DI)#2154,遥测(AI)#2154,2154,-7847,遥控(DO)#2154,2,1,遥调(AO)#2154,累计量(CI)#2154
遥信(DI)#2155,遥测(AI)#2155,2155,-7846,遥控(DO)#2155,2,1,遥调(AO)#2155,累计量(CI)#2155
遥信(DI)#2156,遥测(AI)#2156,2156,-7845,遥控(DO)#2156,2,1,遥调(AO)#2156,累计量(CI)#2156
遥信(DI)#2157,遥测(AI)#2157,2157,-7844,遥控(DO)#2157,2,1,遥调(AO)#2157,累计量(CI)#2157
遥信(DI)#2158,遥测(AI)#2158,2158,-7843,遥控(DO)#2158,2,1,遥调(AO)#2158,累计量(CI)#2158
遥信(DI)#2159,遥测(AI)#2159,2159,-7842,遥控(DO)#2159,2,1,遥调(AO)#2159,累计量(CI)#2159
遥信(DI)#2160,遥测(AI)#2160,2160,-7841,遥控(DO)#2160,2,1,遥调(AO)#2160,累计量(CI)#2160
遥信(DI)#2161,遥测(AI)#2161,2161,-7840,遥控(DO)#2161,2,1,遥调(AO)#2161,累计量(CI)#2161
遥信(DI)#2162,遥测(AI)#2162,2162,-7839,遥控(DO)#2162,2,1,遥调(AO)#2162,累计量(CI)#2162
遥信(DI)#2163,遥测(AI)#2163,2163,-7838,遥控(DO)#2163,2,1,遥调(AO)#2163,累计量(CI)#2163
遥信(DI)#2164,遥测(AI)#2164,2164,-7837,遥控(DO)#2164,2,1,遥调(AO)#2164,累计量(CI)#2164
遥信(DI)#2165,遥测(AI)#2165,2165,-7836,遥控(DO)#2165,2,1,遥调(AO)#2165,累计量(CI)#2165
遥信(DI)#2166,遥测(AI)#2166,2166,-7835,遥控(DO)#2166,2,1,遥调(AO)#2166,累计量(CI)#2166
遥信(DI)#2167,遥测(AI)#2167,2167,-7834,遥控(DO)#2167,2,1,遥调(AO)#2167,累计量(CI)#2167
遥信(DI)#2168,遥测(AI)#2168,2168,-7833,遥控(DO)#2168,2,1,遥调(AO)#2168,累计量(CI)#2168
遥信(DI)#2169,遥测(AI)#2169,2169,-7832,遥控(DO)#2169,2,1,遥调(AO)#2169,累计量(CI)#2169
遥信(DI)#2170,遥测(AI)#2170,2170,-7831,遥控(DO)#2170,2,1,遥调(AO)#2170,累计量(CI)#2170
遥信(DI)#2171,遥测(AI)#2171,2171,-7830,遥控(DO)#2171,2,1,遥调(AO)#2171,累计量(CI)#2171
遥信(DI)#2172,遥测(AI)#2172,2172,-7829,遥控(DO)#2172,2,1,遥调(AO)#2172,累计量(CI)#2172
遥信(DI)#2173,遥测(AI)#2173,2173,-7828,遥控(DO)#2173,2,1,遥调(AO)#2173,累计量(CI)#2173
遥信(DI)#2174,遥测(AI)#2174,2174,-7827,遥控(DO)#2174,2,1,遥调(AO)#2174,累计量(CI)#2174
遥信(DI)#2175,遥测(AI)#2175,2175,-7826,遥控(DO)#2175,2,1,遥调(AO)#2175,累计量(CI)#2175
遥信(DI)#2176,遥测(AI)#2176,2176,-7825,遥控(DO)#2176,2,1,遥调(AO)#2176,累计量(CI)#2176
遥信(DI)#2177,遥测(AI)#2177,2177,-7824,遥控(DO)#2177,2,1,遥调(AO)#2177,累计量(CI)#2177
遥信(DI)#2178,遥测(AI)#2178,2178,-7823,遥控(DO)#2178,2,1,遥调(AO)#2178,累计量(CI)#2178
遥信(DI)#2179,遥测(AI)#2179,2179,-7822,遥控(DO)#2179,2,1,遥调(AO)#2179,累计量(CI)#2179
遥信(DI)#2180,遥测(AI)#2180,2180,-7821,遥控(DO)#2180,2,1,遥调(AO)#2180,累计量(CI)#2180
遥信(DI)#2181,遥测(AI)#2181,2181,-7820,遥控(DO)#2181,2,1,遥调(AO)#2181,累计量(CI)#2181
遥信(DI)#2182,遥测(AI)#2182,2182,-7819,遥控(DO)#2182,2,1,遥调(AO)#2182,累计量(CI)#2182
遥信(DI)#2183,遥测(AI)#2183,2183,-7818,遥控(DO)#2183,2,1,遥调(AO)#2183,累计量(CI)#2183
遥信(DI)#2184,遥测(AI)#2184,2184,-7817,遥控(DO)#2184,2,1,遥调(AO)#2184,累计量(CI)#2184
遥信(DI)#2185,遥测(AI)#2185,2185,-7816,遥控(DO)#2185,2,1,遥调(AO)#2185,累计量(CI)#2185
遥信(DI)#2186,遥测(AI)#2186,2186,-7815,遥控(DO)#2186,2,1,遥调(AO)#2186,累计量(CI)#2186
遥信(DI)#2187,遥测(AI)#2187,2187,-7814,遥控(DO)#2187,2,1,遥调(AO)#2187,累计量(CI)#2187
遥信(DI)#2188,遥测(AI)#2188,2188,-7813,遥控(DO)#2188,2,1,遥调(AO)#2188,累计量(CI)#2188
遥信(DI)#2189,遥测(AI)#2189,2189,-7812,遥控(DO)#2189,2,1,遥调(AO)#2189,累计量(CI)#2189
遥信(DI)#2190,遥测(AI)#2190,2190,-7811,遥控(DO)#2190,2,1,遥调(AO)#2190,累计量(CI)#2190
遥信(DI)#2191,遥测(AI)#2191,2191,-7810,遥控(DO)#2191,2,1,遥调(AO)#2191,累计量(CI)#2191
遥信(DI)#2192,遥测(AI)#2192,2192,-7809,遥控(DO)#2192,2,1,遥调(AO)#2192,累计量(CI)#2192
遥信(DI)#2193,遥测(AI)#2193,2193,-7808,遥控(DO)#2193,2,1,遥调(AO)#2193,累计量(CI)#2193
遥信(DI)#2194,遥测(AI)#2194,2194,-7807,遥控(DO)#2194,2,1,遥调(AO)#2194,累计量(CI)#2194
遥信(DI)#2195,遥测(AI)#2195,2195,-7806,遥控(DO)#2195,2,1,遥调(AO)#2195,累计量(CI)#2195
遥信(DI)#2196,遥测(AI)#2196,2196,-7805,遥控(DO)#2196,2,1,遥调(AO)#2196,累计量(CI)#2196
遥信(DI)#2197,遥测(AI)#2197,2197,-7804,遥控(DO)#2197,2,1,遥调(AO)#2197,累计量(CI)#2197
遥信(DI)#2198,遥测(AI)#2198,2198,-7803,遥控(DO)#2198,2,1,遥调(AO)#2198,累计量(CI)#2198
遥信(DI)#2199,遥测(AI)#2199,2199,-7802,遥控(DO)#2199,2,1,遥调(AO)#2199,累计量(CI)#2199
遥信(DI)#2200,遥测(AI)#2200,2200,-7801,遥控(DO)#2200,2,1,遥调(AO)#2200,累计量(CI)#2200
遥信(DI)#2201,遥测(AI)#2201,2201,-7800,遥控(DO)#2201,2,1,遥调(AO)#2201,累计量(CI)#2201
遥信(DI)#2202,遥测(AI)#2202,2202,-7799,遥控(DO)#2202,2,1,遥调(AO)#2202,累计量(CI)#2202
遥信(DI)#2203,遥测(AI)#2203,2203,-7798,遥控(DO)#2203,2,1,遥调(AO)#2203,累计量(CI)#2203
遥信(DI)#2204,遥测(AI)#2204,2204,-7797,遥控(DO)#2204,2,1,遥调(AO)#2204,累计量(CI)#2204
遥信(DI)#2205,遥测(AI)#2205,2205,-7796,遥控(DO)#2205,2,1,遥调(AO)#2205,累计量(CI)#2205
遥信(DI)#2206,遥测(AI)#2206,2206,-7795,遥控(DO)#2206,2,1,遥调(AO)#2206,累计量(CI)#2206
遥信(DI)#2207,遥测(AI)#2207,2207,-7794,遥控(DO)#2207,2,1,遥调(AO)#2207,累计量(CI)#2207
遥信(DI)#2208,遥测(AI)#2208,2208,-7793,遥控(DO)#2208,2,1,遥调(AO)#2208,累计量(CI)#2208
遥信(DI)#2209,遥测(AI)#2209,2209,-7792,遥控(DO)#2209,2,1,遥调(AO)#2209,累计量(CI)#2209
遥信(DI)#2210,遥测(AI)#2210,2210,-7791,遥控(DO)#2210,2,1,遥调(AO)#2210,累计量(CI)#2210
遥信(DI)#2211,遥测(AI)#2211,2211,-7790,遥控(DO)#2211,2,1,遥调(AO)#2211,累计量(CI)#2211
遥信(DI)#2212,遥测(AI)#2212,2212,-7789,遥控(DO)#2212,2,1,遥调(AO)#2212,累计量(CI)#2212
遥信(DI)#2213,遥测(AI)#2213,2213,-7788,遥控(DO)#2213,2,1,遥调(AO)#2213,累计量(CI)#2213
遥信(DI)#2214,遥测(AI)#2214,2214,-7787,遥控(DO)#2214,2,1,遥调(AO)#2214,累计量(CI)#2214
遥信(DI)#2215,遥测(AI)#2215,2215,-7786,遥控(DO)#2215,2,1,遥调(AO)#2215,累计量(CI)#2215
遥信(DI)#2216,遥测(AI)#2216,2216,-7785,遥控(DO)#2216,2,1,遥调(AO)#2216,累计量(CI)#2216
遥信(DI)#2217,遥测(AI)#2217,2217,-7784,遥控(DO)#2217,2,1,遥调(AO)#2217,累计量(CI)#2217
遥信(DI)#2218,遥测(AI)#2218,2218,-7783,遥控(DO)#2218,2,1,遥调(AO)#2218,累计量(CI)#2218
遥信(DI)#2219,遥测(AI)#2219,2219,-7782,遥控(DO)#2219,2,1,遥调(AO)#2219,累计量(CI)#2219
遥信(DI)#2220,遥测(AI)#2220,2220,-7781,遥控(DO)#2220,2,1,遥调(AO)#2220,累计量(CI)#2220
遥信(DI)#2221,遥测(AI)#2221,2221,-7780,遥控(DO)#2221,2,1,遥调(AO)#2221,累计量(CI)#2221
遥信(DI)#2222,遥测(AI)#2222,2222,-7779,遥控(DO)#2222,2,1,遥调(AO)#2222,累计量(CI)#2222
遥信(DI)#2223,遥测(AI)#2223,2223,-7778,遥控(DO)#2223,2,1,遥调(AO)#2223,累计量(CI)#2223
遥信(DI)#2224,遥测(AI)#2224,2224,-7777,遥控(DO)#2224,2,1,遥调(AO)#2224,累计量(CI)#2224
遥信(DI)#2225,遥测(AI)#2225,2225,-7776,遥控(DO)#2225,2,1,遥调(AO)#2225,累计量(CI)#2225
遥信(DI)#2226,遥测(AI)#2226,2226,-7775,遥控(DO)#2226,2,1,遥调(AO)#2226,累计量(CI)#2226
遥信(DI)#2227,遥测(AI)#2227,2227,-7774,遥控(DO)#2227,2,1,遥调(AO)#2227,累计量(CI)#2227
遥信(DI)#2228,遥测(AI)#2228,2228,-7773,遥控(DO)#2228,2,1,遥调(AO)#2228,累计量(CI)#2228
遥信(DI)#2229,遥测(AI)#2229,2229,-7772,遥控(DO)#2229,2,1,遥调(AO)#2229,累计量(CI)#2229
遥信(DI)#2230,遥测(AI)#2230,2230,-7771,遥控(DO)#2230,2,1,遥调(AO)#2230,累计量(CI)#2230
遥信(DI)#2231,遥测(AI)#2231,2231,-7770,遥控(DO)#2231,2,1,遥调(AO)#2231,累计量(CI)#2231
遥信(DI)#2232,遥测(AI)#2232,2232,-7769,遥控(DO)#2232,2,1,遥调(AO)#2232,累计量(CI)#2232
遥信(DI)#2233,遥测(AI)#2233,2233,-7768,遥控(DO)#2233,2,1,遥调(AO)#2233,累计量(CI)#2233
遥信(DI)#2234,遥测(AI)#2234,2234,-7767,遥控(DO)#2234,2,1,遥调(AO)#2234,累计量(CI)#2234
遥信(DI)#2235,遥测(AI)#2235,2235,-7766,遥控(DO)#2235,2,1,遥调(AO)#2235,累计量(CI)#2235
遥信(DI)#2236,遥测(AI)#2236,2236,-7765,遥控(DO)#2236,2,1,遥调(AO)#2236,累计量(CI)#2236
遥信(DI)#2237,遥测(AI)#2237,2237,-7764,遥控(DO)#2237,2,1,遥调(AO)#2237,累计量(CI)#2237
遥信(DI)#2238,遥测(AI)#2238,2238,-7763,遥控(DO)#2238,2,1,遥调(AO)#2238,累计量(CI)#2238
遥信(DI)#2239,遥测(AI)#2239,2239,-7762,遥控(DO)#2239,2,1,遥调(AO)#2239,累计量(CI)#2239
遥信(DI)#2240,遥测(AI)#2240,2240,-7761,遥控(DO)#2240,2,1,遥调(AO)#2240,累计量(CI)#2240
遥信(DI)#2241,遥测(AI)#2241,2241,-7760,遥控(DO)#2241,2,1,遥调(AO)#2241,累计量(CI)#2241
遥信(DI)#2242,遥测(AI)#2242,2242,-7759,遥控(DO)#2242,2,1,遥调(AO)#2242,累计量(CI)#2242
遥信(DI)#2243,遥测(AI)#2243,2243,-7758,遥控(DO)#2243,2,1,遥调(AO)#2243,累计量(CI)#2243
遥信(DI)#2244,遥测(AI)#2244,2244,-7757,遥控(DO)#2244,2,1,遥调(AO)#2244,累计量(CI)#2244
遥信(DI)#2245,遥测(AI)#2245,2245,-7756,遥控(DO)#2245,2,1,遥调(AO)#2245,累计量(CI)#2245
遥信(DI)#2246,遥测(AI)#2246,2246,-7755,遥控(DO)#2246,2,1,遥调(AO)#2246,累计量(CI)#2246
遥信(DI)#2247,遥测(AI)#2247,2247,-7754,遥控(DO)#2247,2,1,遥调(AO)#2247,累计量(CI)#2247
遥信(DI)#2248,遥测(AI)#2248,2248,-7753,遥控(DO)#2248,2,1,遥调(AO)#2248,累计量(CI)#2248
遥信(DI)#2249,遥测(AI)#2249,2249,-7752,遥控(DO)#2249,2,1,遥调(AO)#2249,累计量(CI)#2249
遥信(DI)#2250,遥测(AI)#2250,2250,-7751,遥控(DO)#2250,2,1,遥调(AO)#2250,累计量(CI)#2250
遥信(DI)#2251,遥测(AI)#2251,2251,-7750,遥控(DO)#2251,2,1,遥调(AO)#2251,累计量(CI)#2251
遥信(DI)#2252,遥测(AI)#2252,2252,-7749,遥控(DO)#2252,2,1,遥调(AO)#2252,累计量(CI)#2252
遥信(DI)#2253,遥测(AI)#2253,2253,-7748,遥控(DO)#2253,2,1,遥调(AO)#2253,累计量(CI)#2253
遥信(DI)#2254,遥测(AI)#2254,2254,-7747,遥控(DO)#2254,2,1,遥调(AO)#2254,累计量(CI)#2254
遥信(DI)#2255,遥测(AI)#2255,2255,-7746,遥控(DO)#2255,2,1,遥调(AO)#2255,累计量(CI)#2255
遥信(DI)#2256,遥测(AI)#2256,2256,-7745,遥控(DO)#2256,2,1,遥调(AO)#2256,累计量(CI)#2256
遥信(DI)#2257,遥测(AI)#2257,2257,-7744,遥控(DO)#2257,2,1,遥调(AO)#2257,累计量(CI)#2257
遥信(DI)#2258,遥测(AI)#2258,2258,-7743,遥控(DO)#2258,2,1,遥调(AO)#2258,累计量(CI)#2258
遥信(DI)#2259,遥测(AI)#2259,2259,-7742,遥控(DO)#2259,2,1,遥调(AO)#2259,累计量(CI)#2259
遥信(DI)#2260,遥测(AI)#2260,2260,-7741,遥控(DO)#2260,2,1,遥调(AO)#2260,累计量(CI)#2260
遥信(DI)#2261,遥测(AI)#2261,2261,-7740,遥控(DO)#2261,2,1,遥调(AO)#2261,累计量(CI)#2261
遥信(DI)#2262,遥测(AI)#2262,2262,-7739,遥控(DO)#2262,2,1,遥调(AO)#2262,累计量(CI)#2262
遥信(DI)#2263,遥测(AI)#2263,2263,-7738,遥控(DO)#2263,2,1,遥调(AO)#2263,累计量(CI)#2263
遥信(DI)#2264,遥测(AI)#2264,2264,-7737,遥控(DO)#2264,2,1,遥调(AO)#2264,累计量(CI)#2264
遥信(DI)#2265,遥测(AI)#2265,2265,-7736,遥控(DO)#2265,2,1,遥调(AO)#2265,累计量(CI)#2265
遥信(DI)#2266,遥测(AI)#2266,2266,-7735,遥控(DO)#2266,2,1,遥调(AO)#2266,累计量(CI)#2266
遥信(DI)#2267,遥测(AI)#2267,2267,-7734,遥控(DO)#2267,2,1,遥调(AO)#2267,累计量(CI)#2267
遥信(DI)#2268,遥测(AI)#2268,2268,-7733,遥控(DO)#2268,2,1,遥调(AO)#2268,累计量(CI)#2268
遥信(DI)#2269,遥测(AI)#2269,2269,-7732,遥控(DO)#2269,2,1,遥调(AO)#2269,累计量(CI)#2269
遥信(DI)#2270,遥测(AI)#2270,2270,-7731,遥控(DO)#2270,2,1,遥调(AO)#2270,累计量(CI)#2270
遥信(DI)#2271,遥测(AI)#2271,2271,-7730,遥控(DO)#2271,2,1,遥调(AO)#2271,累计量(CI)#2271
遥信(DI)#2272,遥测(AI)#2272,2272,-7729,遥控(DO)#2272,2,1,遥调(AO)#2272,累计量(CI)#2272
遥信(DI)#2273,遥测(AI)#2273,2273,-7728,遥控(DO)#2273,2,1,遥调(AO)#2273,累计量(CI)#2273
遥信(DI)#2274,遥测(AI)#2274,2274,-7727,遥控(DO)#2274,2,1,遥调(AO)#2274,累计量(CI)#2274
遥信(DI)#2275,遥测(AI)#2275,2275,-7726,遥控(DO)#2275,2,1,遥调(AO)#2275,累计量(CI)#2275
遥信(DI)#2276,遥测(AI)#2276,2276,-7725,遥控(DO)#2276,2,1,遥调(AO)#2276,累计量(CI)#2276
遥信(DI)#2277,遥测(AI)#2277,2277,-7724,遥控(DO)#2277,2,1,遥调(AO)#2277,累计量(CI)#2277
遥信(DI)#2278,遥测(AI)#2278,2278,-7723,遥控(DO)#2278,2,1,遥调(AO)#2278,累计量(CI)#2278
遥信(DI)#2279,遥测(AI)#2279,2279,-7722,遥控(DO)#2279,2,1,遥调(AO)#2279,累计量(CI)#2279
遥信(DI)#2280,遥测(AI)#2280,2280,-7721,遥控(DO)#2280,2,1,遥调(AO)#2280,累计量(CI)#2280
遥信(DI)#2281,遥测(AI)#2281,2281,-7720,遥控(DO)#2281,2,1,遥调(AO)#2281,累计量(CI)#2281
遥信(DI)#2282,遥测(AI)#2282,2282,-7719,遥控(DO)#2282,2,1,遥调(AO)#2282,累计量(CI)#2282
遥信(DI)#2283,遥测(AI)#2283,2283,-7718,遥控(DO)#2283,2,1,遥调(AO)#2283,累计量(CI)#2283
遥信(DI)#2284,遥测(AI)#2284,2284,-7717,遥控(DO)#2284,2,1,遥调(AO)#2284,累计量(CI)#2284
遥信(DI)#2285,遥测(AI)#2285,2285,-7716,遥控(DO)#2285,2,1,遥调(AO)#2285,累计量(CI)#2285
遥信(DI)#2286,遥测(AI)#2286,2286,-7715,遥控(DO)#2286,2,1,遥调(AO)#2286,累计量(CI)#2286
遥信(DI)#2287,遥测(AI)#2287,2287,-7714,遥控(DO)#2287,2,1,遥调(AO)#2287,累计量(CI)#2287
遥信(DI)#2288,遥测(AI)#2288,2288,-7713,遥控(DO)#2288,2,1,遥调(AO)#2288,累计量(CI)#2288
遥信(DI)#2289,遥测(AI)#2289,2289,-7712,遥控(DO)#2289,2,1,遥调(AO)#2289,累计量(CI)#2289
遥信(DI)#2290,遥测(AI)#2290,2290,-7711,遥控(DO)#2290,2,1,遥调(AO)#2290,累计量(CI)#2290
遥信(DI)#2291,遥测(AI)#2291,2291,-7710,遥控(DO)#2291,2,1,遥调(AO)#2291,累计量(CI)#2291
遥信(DI)#2292,遥测(AI)#2292,2292,-7709,遥控(DO)#2292,2,1,遥调(AO)#2292,累计量(CI)#2292
遥信(DI)#2293,遥测(AI)#2293,2293,-7708,遥控(DO)#2293,2,1,遥调(AO)#2293,累计量(CI)#2293
遥信(DI)#2294,遥测(AI)#2294,2294,-7707,遥控(DO)#2294,2,1,遥调(AO)#2294,累计量(CI)#2294
遥信(DI)#2295,遥测(AI)#2295,2295,-7706,遥控(DO)#2295,2,1,遥调(AO)#2295,累计量(CI)#2295
遥信(DI)#2296,遥测(AI)#2296,2296,-7705,遥控(DO)#2296,2,1,遥调(AO)#2296,累计量(CI)#2296
遥信(DI)#2297,遥测(AI)#2297,2297,-7704,遥控(DO)#2297,2,1,遥调(AO)#2297,累计量(CI)#2297
遥信(DI)#2298,遥测(AI)#2298,2298,-7703,遥控(DO)#2298,2,1,遥调(AO)#2298,累计量(CI)#2298
